Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Cse Engineering,Introduction to Database, ,Which of the following products implemented the CODASYL DBTG model?,IDMS,DB2,dBase-II,R:base, ,A," No answer description available for this question. <a href=""discussion-18"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,An Enterprise Resource Planning application is an example of a(n) ________ .,single-user database application,multiuser database application,e-commerce database application,data mining database application, ,B," No answer description available for this question. <a href=""discussion-3"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,A DBMS that combines a DBMS and an application generator is ________ .,Microsoft's SQL Server,Microsoft's Access,IBM's DB2,Oracle Corporation's Oracle, ,B," No answer description available for this question. <a href=""discussion-6"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,"You have run an SQL statement that asked the DBMS to display data in a table named USER_TABLES. The results include columns of data labeled ""TableName,"" ""NumberOfColumns"" and ""PrimaryKey."" You are looking at ________ .",user data.,metadata,A report,indexes, ,B," No answer description available for this question. <a href=""discussion-14"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,Which of the following is not considered to be a basic element of an enterprise-class database system?,Users,Database applications,DBMS,COBOL programs, ,D," No answer description available for this question. <a href=""discussion-9"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,The DBMS that is most difficult to use is ________ .,Microsoft's SQL Server,Microsoft's Access,IBM's DB2,Oracle Corporation's Oracle, ,D," No answer description available for this question. <a href=""discussion-7"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,"Every time attribute A appears, it is matched with the same value of attribute B, but not the same value of attribute C. Therefore, it is true that:",A â B.,A â C.,"A â (B,C).","(B,C) â A.", ,A," No answer description available for this question. <a href=""discussion-91"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,The different classes of relations created by the technique for preventing modification anomalies are called:,normal forms.,referential integrity constraints.,functional dependencies.,None of the above is correct., ,A," No answer description available for this question. <a href=""discussion-98"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,A relation is in this form if it is in BCNF and has no multivalued dependencies:,second normal form.,third normal form.,fourth normal form.,domain/key normal form., ,C," No answer description available for this question. <a href=""discussion-101"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,Row is synonymous with the term:,record.,relation.,column.,field., ,A," No answer description available for this question. <a href=""discussion-87"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,The primary key is selected from the:,composite keys.,determinants.,candidate keys.,foreign keys., ,C," No answer description available for this question. <a href=""discussion-94"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,Which of the following is a group of one or more attributes that uniquely identifies a row?,Key,Determinant,Tuple,Relation, ,A," No answer description available for this question. <a href=""discussion-93"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,"When the values in one or more attributes being used as a foreign key must exist in another set of one or more attributes in another table, we have created a(n):",transitive dependency.,insertion anomaly.,referential integrity constraint.,normal form., ,C," No answer description available for this question. <a href=""discussion-96"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,A relation is considered a:,Column.,one-dimensional table.,two-dimensional table.,three-dimensional table., ,C," No answer description available for this question. <a href=""discussion-82"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,"In the relational model, relationships between relations or tables are created by using:",composite keys.,determinants.,candidate keys.,foreign keys., ,D," No answer description available for this question. <a href=""discussion-95"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,A functional dependency is a relationship between or among:,tables.,rows.,relations.,attributes., ,D," No answer description available for this question. <a href=""discussion-88"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,Table is synonymous with the term:,record.,relation.,column.,field., ,B," No answer description available for this question. <a href=""discussion-86"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,Which of the following is not a restriction for a table to be a relation?,The cells of the table must contain a single value.,All of the entries in any column must be of the same kind.,The columns must be ordered.,No two rows in a table may be identical., ,C," No answer description available for this question. <a href=""discussion-83"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,"For some relations, changing the data can have undesirable consequences called:",referential integrity constraints.,modification anomalies.,normal forms.,transitive dependencies., ,B," No answer description available for this question. <a href=""discussion-97"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,A key:,must always be composed of two or more columns.,can only be one column.,identifies a row.,identifies a column., ,C," No answer description available for this question. <a href=""discussion-92"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,An attribute is a(n):,column of a table.,two dimensional table.,row of a table.,key of a table., ,A," No answer description available for this question. <a href=""discussion-85"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,A relation in this form is free of all modification anomalies.,First normal form,Second normal form,Third normal form,Domain/key normal form, ,D," No answer description available for this question. <a href=""discussion-99"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,"If attributes A and B determine attribute C, then it is also true that:",A â C.,B â C.,"(A,B) is a composite determinant.",C is a determinant., ,C," No answer description available for this question. <a href=""discussion-89"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,A tuple is a(n):,column of a table.,two dimensional table.,row of a table.,key of a table., ,C," No answer description available for this question. <a href=""discussion-84"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,"If attribute A determines both attributes B and C, then it is also true that:",A â B.,B â A.,C â A.,"(B,C) â A.", ,A," No answer description available for this question. <a href=""discussion-90"">Let us discuss</a>. "
Cse Engineering,The Relational Model and Normalization, ,One solution to the multivalued dependency constraint problem is to:,"split the relation into two relations, each with a single theme.",change the theme.,create a new theme.,add a composite key., ,A," No answer description available for this question. <a href=""discussion-100"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Which of the following indicates the maximum number of entities that can be involved in a relationship?,Minimum cardinality,Maximum cardinality,ERD,Greater Entity Count (GEC), ,B," No answer description available for this question. <a href=""discussion-172"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,"Which type of entity cannot exist in the database unless another type of entity also exists in the database, but does not require that the identifier of that other entity be included as part of its own identifier?",Weak entity,Strong entity,ID-dependent entity,ID- independent entity, ,A," No answer description available for this question. <a href=""discussion-177"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,"In a one-to-many relationship, the entity that is on the one side of the relationship is called a(n) ________ entity.",parent,child,instance,subtype, ,A," No answer description available for this question. <a href=""discussion-174"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Which type of entity represents an actual occurrence of an associated generalized entity?,Supertype entity,Subtype entity,Archetype entity,Instance entity, ,D," No answer description available for this question. <a href=""discussion-181"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,A recursive relationship is a relationship between an entity and ________ .,itself,a subtype entity,an archetype entity,an instance entity, ,A," No answer description available for this question. <a href=""discussion-182"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Which of the following indicates the minimum number of entities that must be involved in a relationship?,Minimum cardinality,Maximum cardinality,ERD,Greater Entity Count (GEC), ,A," No answer description available for this question. <a href=""discussion-173"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,"Which of the following refers to something that can be identified in the users' work environment, something that the users want to track?",Entity,Attribute,Identifier,Relationship, ,A," No answer description available for this question. <a href=""discussion-165"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,In which of the following is a single-entity instance of one type related to many entity instances of another type?,One-to-One Relationship,One-to-Many Relationship,Many-to-Many Relationship,Composite Relationship, ,B," No answer description available for this question. <a href=""discussion-170"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Which of the following refers to an entity in which the identifier of one entity includes the identifier of another entity?,Weak entity,Strong entity,ID-dependent entity,ID-independent entity, ,C," No answer description available for this question. <a href=""discussion-176"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Which type of entity is related to two or more associated entities that each contain specialized attributes that apply to some but not all of the instances of the entity?,Supertype entity,Subtype entity,Archetype entity,Instance entity, ,A," No answer description available for this question. <a href=""discussion-178"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,An attribute that names or identifies entity instances is a(n):,entity.,attribute.,identifier.,relationship., ,C," No answer description available for this question. <a href=""discussion-167"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Properties that describe the characteristics of entities are called:,entities.,attributes.,identifiers.,relationships., ,B," No answer description available for this question. <a href=""discussion-166"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,In which of the following can many entity instances of one type be related to many entity instances of another type?,One-to-One Relationship,One-to-Many Relationship,Many-to-Many Relationship,Composite Relationship, ,C," No answer description available for this question. <a href=""discussion-171"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Entities of a given type are grouped into a(n):,database.,entity class.,attribute.,ERD., ,B," No answer description available for this question. <a href=""discussion-164"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Which of the following is NOT a basic element of all versions of the E-R model?,Entities,Attributes,Relationships,Primary keys, ,D," No answer description available for this question. <a href=""discussion-163"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,In which of the following is a single-entity instance of one type of related to a single-entity instance of another type?,One-to-One Relationship,One-to-Many Relationship,Many-to-Many Relationship,Composite Relationship, ,A," No answer description available for this question. <a href=""discussion-169"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Entities can be associated with one another in which of the following?,Entities,Attributes,Identifiers,Relationships, ,D," No answer description available for this question. <a href=""discussion-168"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,Which type of entity has its relationship to another entity determined by an attribute in that other entity called a discriminator?,Supertype entity,Subtype entity,Archetype entity,Instance entity, ,B," No answer description available for this question. <a href=""discussion-179"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,"Which type of entity represents a logical generalization whose actual occurrence is represented by a second, associated entity?",Supertype entity,Subtype entity,Archetype entity,Instance entity, ,C," No answer description available for this question. <a href=""discussion-180"">Let us discuss</a>. "
Cse Engineering,Data Modeling with ER Model, ,"In a one-to-many relationship, the entity that is on the many side of the relationship is called a(n) ________ entity.",parent,child,instance,subtype, ,B," No answer description available for this question. <a href=""discussion-175"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,The SQL command to create a table is:,MAKE TABLE.,ALTER TABLE.,DEFINE TABLE.,CREATE TABLE., ,D," No answer description available for this question. <a href=""discussion-243"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,A ________ is a stored program that is attached to a table or a view.,pseudofile,embedded SELECT statement,trigger,None of the above is correct., ,C," No answer description available for this question. <a href=""discussion-258"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,The DROP TABLE statement:,deletes the table structure only.,deletes the table structure along with the table data.,works whether or not referential integrity constraints would be violated.,is not an SQL statement., ,B," No answer description available for this question. <a href=""discussion-248"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,SQL views can be used to hide:,columns and rows only.,complicated SQL syntax only.,both of the above can be hidden by an SQL view.,None of the above is correct., ,C," No answer description available for this question. <a href=""discussion-256"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,The SQL statement to create a view is:,CREATE VIEW.,MAKE VIEW.,SELECT VIEW.,INSERT VIEW., ,A," No answer description available for this question. <a href=""discussion-252"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,"To update an SQL view, the DBMS must be able to associate the column(s) to be updated with:",a particular column in a particular underlying table.,a particular column in a particular row.,a particular row in a particular underlying table.,None of the above is correct., ,C," No answer description available for this question. <a href=""discussion-257"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,Which of the following is NOT a type of SQL constraint?,PRIMARY KEY,FOREIGN KEY,ALTERNATE KEY,UNIQUE, ,C," No answer description available for this question. <a href=""discussion-244"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,A ________ is a program that performs some common action on database data and that is stored in the database.,trigger,stored procedure,pseudofile,None of the above is correct., ,B," No answer description available for this question. <a href=""discussion-261"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,For what purposes are views used?,To hide columns only,To hide rows only,To hide complicated SQL statements only,All of the above are uses for SQL views., ,D," No answer description available for this question. <a href=""discussion-253"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,What is an SQL virtual table that is constructed from other tables?,Just another table,A view,A relation,Query results, ,B," No answer description available for this question. <a href=""discussion-250"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,When using the SQL INSERT statement:,rows can be modified according to criteria only.,rows cannot be copied in mass from one table to another only.,rows can be inserted into a table only one at a time only.,rows can either be inserted into a table one at a time or in groups., ,D," No answer description available for this question. <a href=""discussion-249"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,What is not an advantage of stored procedures?,Greater security,SQL can be optimized,Code sharing,Increased network traffic, ,D," No answer description available for this question. <a href=""discussion-262"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,A reason for using an SQL view to hide columns is:,to simplify a result only.,to prevent the display of sensitive data only.,to accomplish both of the above.,None of the above are reasons for using an SQL view., ,C," No answer description available for this question. <a href=""discussion-254"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,Which of the following is an SQL trigger supported by Oracle?,BEFORE,INSTEAD OF,AFTER,All of the above., ,D," No answer description available for this question. <a href=""discussion-259"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,The SQL ALTER statement can be used to:,change the table structure.,change the table data.,add rows to the table.,delete rows from the table., ,A," No answer description available for this question. <a href=""discussion-247"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,What SQL structure is used to limit column values of a table?,The LIMIT constraint,The CHECK constraint,The VALUE constraint,None of the above is correct., ,B," No answer description available for this question. <a href=""discussion-245"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,Which is NOT one of the most common types of SQL CHECK constraints?,System date,Range checks,Lists of values,Comparing one column value to another within the same table, ,A," No answer description available for this question. <a href=""discussion-246"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,What is an advantage of placing computations in SQL views?,To save users from having to write an expression.,To ensure that the results are consistent.,To accomplish both of the above.,None of the above is correct - computations cannot be placed in a view., ,C," No answer description available for this question. <a href=""discussion-255"">Let us discuss</a>. "
Cse Engineering,SQL for Database Construction, ,Views constructed from SQL SELECT statements that conform to the SQL-92 standard may not contain:,GROUP BY.,WHERE.,ORDER BY.,FROM., ,C," No answer description available for this question. <a href=""discussion-251"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,Locks placed by command are called ________ .,implicit locks,explicit locks,exclusive locks,shared locks, ,B," No answer description available for this question. <a href=""discussion-325"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,Which of the following locks the item from change but not from read?,Implicit lock,Explicit lock,Exclusive lock,Shared lock, ,D," No answer description available for this question. <a href=""discussion-333"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,Which of the following occurs when a transaction rereads data and finds new rows that were inserted by a command transaction since the prior read?,Nonrepeatable read,Phantom read,Dirty read,Consistent read, ,B," No answer description available for this question. <a href=""discussion-337"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,A transaction for which all committed changes are permanent is called:,atomic.,consistent.,isolated.,durable., ,D," No answer description available for this question. <a href=""discussion-335"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,"In this instance, dirty reads are disallowed, while nonrepeatable reads and phantom reads are allowed.",Read committed,Read uncommitted,Repeatable read,Serializable, ,A," No answer description available for this question. <a href=""discussion-340"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,Which of the following occurs when a transaction rereads data it has previously read and finds modification or deletions caused by a committed transaction?,Nonrepeatable read,Phantom read,Dirty read,Consistent read, ,A," No answer description available for this question. <a href=""discussion-336"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,The advantage of optimistic locking is that:,the lock is obtained only after the transaction has processed.,the lock is obtained before the transaction has processed.,the lock never needs to be obtained.,transactions that are best suited are those with a lot of activity., ,A," No answer description available for this question. <a href=""discussion-326"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,"Which of the following refers to a cursor type that when the cursor is opened, a primary key value is saved for each row in the recordset, when the application accesses a row, the key is used to fetch the current values of the row?",Forward only,Static,Keyset,Dynamic, ,C," No answer description available for this question. <a href=""discussion-329"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,Which of the following refers to a cursor type where changes of any type and from any source are visible?,Forward only,Static,Keyset,Dynamic, ,D," No answer description available for this question. <a href=""discussion-330"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,"Which of the following disallows both dirty reads and nonrepeatable reads, but allows phantom reads?",Read committed,Read uncommitted,Repeatable read,Serializable, ,C," No answer description available for this question. <a href=""discussion-341"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,"Dirty read, nonrepeatable, and phantom reads are not possible in this instance.",Read committed,Read uncommitted,Repeatable read,Serializable, ,D," No answer description available for this question. <a href=""discussion-342"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,A transaction in which either all of the database actions occur or none of them do is called:,atomic.,consistent.,isolated.,durable., ,A," No answer description available for this question. <a href=""discussion-334"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,A cursor type in which the application can only move forward through the recordset is called:,forward only.,static.,keyset.,dynamic., ,A," No answer description available for this question. <a href=""discussion-327"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,Which of the following occurs when one transaction reads a changed record that has not been committed to the database?,Nonrepeatable read,Phantom read,Dirty read,Consistent read, ,C," No answer description available for this question. <a href=""discussion-338"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,"Which of the following allows dirty reads, nonrepeatable reads and phantom reads to occur?",Read committed,Read uncommitted,Repeatable read,Serializable, ,B," No answer description available for this question. <a href=""discussion-339"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,Which of the following locks the item from access of any type?,Implicit lock,Explicit lock,Exclusive lock,Shared lock, ,C," No answer description available for this question. <a href=""discussion-332"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,The size of a lock is called:,implicit lock.,lock granularity.,exclusive lock.,shared lock., ,B," No answer description available for this question. <a href=""discussion-331"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,A cursor type in which the application sees the data as they were at the time the cursor was opened is called:,forward only.,static.,keyset.,dynamic., ,B," No answer description available for this question. <a href=""discussion-328"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,What is the overall responsibility of the DBA?,Facilitate the development and use of the database,Create and populate tables,"Development, operation, and maintenance of the database and its applications",Both the first and third answers above are correct., ,D," No answer description available for this question. <a href=""discussion-323"">Let us discuss</a>. "
Cse Engineering,Managing Multiuser Databases, ,Locks placed by the DBMS are called ________ .,implicit locks,explicit locks,exclusive locks,shared locks, ,A," No answer description available for this question. <a href=""discussion-324"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,With which type of SQL Server recovery model are all database changes logged except those that cause large log entries?,Differential recovery,Full recovery,Simple recovery,Bulk-logged recovery, ,D," No answer description available for this question. <a href=""discussion-422"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,"Using SQL Server 2000, which of the following symbols is used to indicate parameters in stored procedures?",#,%,&,@, ,D," No answer description available for this question. <a href=""discussion-404"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,What mode of authentication does SQL Server NOT provide?,Windows-only security,Both SQL Server and Windows-only security,Mixed security,SQL Server only security, ,D," No answer description available for this question. <a href=""discussion-405"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,The strictest transaction isolation level provided by SQL Server is called:,REPEATABLE READ.,SERIALIZABLE.,READ COMMITTED.,READ UNCOMMITTED., ,B," No answer description available for this question. <a href=""discussion-415"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,SQL Server program code that is executed instead of an SQL command that needs to be processed is called a(n):,INSTEAD OF trigger.,BEFORE trigger.,AFTER trigger.,BEGIN trigger., ,A," No answer description available for this question. <a href=""discussion-413"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,Which type of SQL Server cursor concurrency places an update lock on a row when the row is read?,READ_ONLY,SCROLL_LOCK,OPTIMISTIC,READCOMMITTED, ,D," No answer description available for this question. <a href=""discussion-418"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,Which of the three possible types of triggers does SQL Server support?,INSTEAD OF only,AFTER only,BEFORE only,INSTEAD OF and AFTER only, ,D," No answer description available for this question. <a href=""discussion-411"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,Which of the following is a way to create and modify tables using SQL Server?,Write SQL code using either CREATE or ALTER SQL statements only.,Use the graphical facilities of SQL Server Enterprise Manager only.,Both of the two methods above will work.,Neither of the two methods above will work., ,C," No answer description available for this question. <a href=""discussion-403"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,"With which type of SQL Server recovery model, is no logging done?",Differential recovery,Full recovery,Bulk-logged recovery,Simple recovery, ,D," No answer description available for this question. <a href=""discussion-420"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,SQL Server 2000 stored procedures can:,never be kept within the database.,be kept within the database and invoked by application programs.,be stored on the users' computer.,"support BEFORE, INSTEAD OF and AFTER types.", ,B," No answer description available for this question. <a href=""discussion-409"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,With this type of SQL Server cursor concurrency no lock is obtained until the user updates the data.,READ_ONLY,SCROLL_LOCK,OPTIMISTIC,PESSIMISTIC, ,C," No answer description available for this question. <a href=""discussion-417"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,"An SQL Server 2000 language that adds programming elements like parameters, variables, IF, WHILE loops, and so forth, to the basic capabilities of SQL is called:",COBOL.,VB.NET.,TRANSACT SQL.,Visual Basic., ,C," No answer description available for this question. <a href=""discussion-410"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,"With this type of index, the data are stored in the bottom level of the index and in the same order as that index.",Nonclustered,Clustered,Primary,Secondary, ,B," No answer description available for this question. <a href=""discussion-406"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,"In SQL Server 2000, which of the following makes a copy of the changes that have been made to the database since the last complete backup?",Complete backup,Transaction Log,Differential backup,None of the above is correct., ,C," No answer description available for this question. <a href=""discussion-419"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,"With this type of index, the bottom level of an index does not contain data, but rather it contains pointers to data.",Nonclustered,Clustered,Primary,Secondary, ,A," No answer description available for this question. <a href=""discussion-407"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,With which type of SQL Server recovery model are all database changes logged?,Differential recovery,Full recovery,Simple recovery,Bulk-logged recovery, ,B," No answer description available for this question. <a href=""discussion-421"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,SQL Server automatically creates an index on:,primary keys only.,foreign key only.,both primary and foreign keys.,SQL Server never automatically creates an index., ,C," No answer description available for this question. <a href=""discussion-408"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,Which of the following is not a factor in determining the concurrency control behavior of SQL Server?,Lock level,Transaction isolation level,Cursor concurrency setting,Locking hints, ,A," No answer description available for this question. <a href=""discussion-414"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,SQL Server program code that is executed after an SQL command has been processed is called a(n):,INSTEAD OF trigger.,BEFORE trigger.,AFTER trigger.,BEGIN trigger., ,C," No answer description available for this question. <a href=""discussion-412"">Let us discuss</a>. "
Cse Engineering,SQL Server 2000, ,Which of the following refers to the SQL Server transaction isolation level which places and holds locks on all rows that are read?,REPEATABLE READ,SERIALIZABLE,READ COMMITTED,READ UNCOMMITTED, ,A," No answer description available for this question. <a href=""discussion-416"">Let us discuss</a>. "
Cse Engineering,XML and ADO.NET, ,The XSLT processor copies the elements of the stylesheet until it finds a command in the format:,SELECT ... FROM ... WHERE.,"{item, action}.",{for-each select}.,<HTML>...<\HTML>., ,B," No answer description available for this question. <a href=""discussion-496"">Let us discuss</a>. "
Cse Engineering,XML and ADO.NET, ,"What standard, protocol or language was generalized to become a standard protocol for sending messages of any type, using any protocol?",SOAP,SGML,SQL,ADO, ,A," No answer description available for this question. <a href=""discussion-486"">Let us discuss</a>. "
Cse Engineering,XML and ADO.NET, ,Which of the following statements is not true about XML Schemas:,They are used to define the content and structure of data.,They define a set of symbols and the relationships of those symbols.,They are themselves XML documents.,They have their own syntax., ,D," No answer description available for this question. <a href=""discussion-498"">Let us discuss</a>. "
Cse Engineering,XML and ADO.NET, ,The most popular way to materialize XML documents is to use:,DTD.,XSLT.,HTML.,SOAP., ,B," No answer description available for this question. <a href=""discussion-493"">Let us discuss</a>. "
Cse Engineering,XML and ADO.NET, ,With XML:,views are not limited to one multi-valued path only.,documents can automatically be generated from database data only.,database data can automatically be extracted from XML documents only.,"With XML, all of the above are true.", ,D," No answer description available for this question. <a href=""discussion-485"">Let us discuss</a>. "
Cse Engineering,XML and ADO.NET, ,"To eliminate definition duplication, XML Schemas define:",an intersection table.,global elements.,a normalized definition table.,None of the above is correct., ,B," No answer description available for this question. <a href=""discussion-500"">Let us discuss</a>. "
Cse Engineering,XML and ADO.NET, ,What is not true about SOAP?,SOAP originally meant Simple Object Access Protocol.,SOAP was defined as an XML-based standard for providing remote procedure calls over the Internet.,"SOAP now is just a name, not an acronym",SOAP was an early form of XML., ,D," No answer description available for this question. <a href=""discussion-487"">Let us discuss</a>. "
