Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 1.5, 2.3, 3.1, 3.9, ... What number should come next?",4.2,4.4,4.7,5.1, ,C," In this simple addition series, each number increases by 0.8. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 14, 28, 20, 40, 32, 64, ... What number should come next?",52,56,96,128, ,B," This is an alternating multiplication and subtracting  series: First, multiply by 2 and then subtract 8. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 2, 4, 6, 8, 10, ... What number should come next?",11,12,13,14, ,B, This is a simple addition series. Each number increases by 2. 
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 201, 202, 204, 207, ... What number should come next?",205,208,210,211, ,D," In this addition series, 1 is added to the first number, 2 is added to the second number, 3 is added to the third number, 4 is added to the fourth number, and go on. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 544, 509, 474, 439, ... What number should come next?",404,414,420,445, ,A, This is a simple subtraction series. Each number is 35 less than the previous number. 
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 80, 10, 70, 15, 60, ... What number should come next?",20,25,30,50, ,A," This is an alternating addition and subtraction series. In the first pattern, 10 is subtracted from each number to arrive at the next. In the second, 5 is added to each number to arrive at the next. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 2, 6, 18, 54, ... What number should come next?",108,148,162,216, ,C, This is a simple multiplication series. Each number is 3 times more than the previous number. 
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 5.2, 4.8, 4.4, 4, ... What number should come next?",3,3.3,3.5,3.6, ,D," In this simple subtraction series, each number decreases by 0.4. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 8, 6, 9, 23, 87 , ... What number should come next?",128,226,324,429, ,D, <p>8 x 1 - 2 = 6  <br>6 x 2 - 3 = 9     <br>9 x 3 - 4 = 23    <br>23 x 4 - 5 = 87   <br>87 x 5 - 6 = 429 ... </p> 
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,parsley,basil,dill,mayonnaise, ,D," Parsley, basil, and dill are types of herbs. Mayonnaise is not an herb. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,inch,ounce,centimeter,yard, ,B," An ounce measures weight, the other choices measure length. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,tyre,steering wheel,engine,car, ,D," Tyre, steering wheel, and engine are all parts of a car. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,tulip,rose,bud,daisy, ,C," Tulip, rose, and daisy are all types of flowers. A bud is not. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,rye,sourdough,pumpernickel,loaf, ,A," <p>Loaf, sourdough, and pumpernickel are types of bread. A rye is not a bread type.</p><p>Loaf - Bread that is shaped and baked in one piece and usually sliced before being eaten.</p><p>Pumpernickel - Dark, dense German bread made from coarsely ground whole-grain rye.</p><p>Sourdough - Leaven for making bread, consisting of fermenting dough, typically that left over from a previous batch.</p><p>Rye - A wheatlike cereal plant that tolerates poor soils and low temperatures.</p> "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,guitar,flute,violin,cello, ,B," The guitar, violin, and cello are stringed instruments, the flute is a wind instrument. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,dodge,flee,duck,avoid, ,B," Dodge, duck, and avoid are all synonyms meaning evade. Flee means to run away from. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,branch,dirt,leaf,root, ,B," A branch, leaf, and root are all parts of a tree. The dirt underneath is not a part of the tree. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,street,freeway,interstate,expressway, ,A," Freeway, interstate, and expressway are all high- speed highways, a street is for low-speed traffic. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,heading,body,letter,closing, ,C," Heading, body, and closing are all parts of a letter,  the letter is the whole, not a part. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,tape,twine,cord,yarn, ,A," The yarn, twine, and cord are all used for tying. The tape is not used in the same way. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,leopard,cougar,elephant,lion, ,C," A leopard, cougar, and lion all belong to the cat family, an elephant does not. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,couch,rug,table,chair, ,B," The couch, table, and chair are pieces of furniture, the rug is not. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,cornea,retina,pupil,vision, ,D," The cornea, retina, and pupil are all parts of the eye. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,noun,preposition,punctuation,adverb, ,C," The noun, preposition, and adverb are classes of words that make up a sentence. Punctuation belongs in a sentence, but punctuation is not a class of word. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,book,index,glossary,chapter, ,A," An index, glossary, and chapter are all parts of a book. Choice a does not belong because the book is the whole, not a part. "
Logical Reasoning,Misscellaneous,"                            Three of the words will be in the same classification, the remaining one will not be. Your answer will be the one word that does NOT belong in the same classification as the others.                        ",Which word does NOT belong with the others?,unimportant,trivial,insignificant,familiar, ,D, The first three choices are all synonyms. 
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Odometer is to mileage as compass is to,speed,hiking,needle,direction, ,D," An odometer is an instrument used to measure mileage.  A compass is an instrument used to determine direction. Choices a, b, and  c are incorrect because none is an instrument. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Marathon is to race as hibernation is to,winter,bear,dream,sleep, ,D," A marathon is a long race and hibernation is a lengthy period of sleep. The answer is not choice a or b because even though a bear and winter are related to hibernation, neither completes the analogy. (Choice c) is incorrect because sleep and dream are not synonymous. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Window is to pane as book is to,novel,glass,cover,page, ,D," A window is made up of panes, and a book is made up of pages. The answer is not (choice a) because a novel is a type of book. The answer is not (choice b) because glass has no relationship to a book. (Choice c) is incorrect because a cover is only one part of a book, a book is not made up of  covers. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Cup is to coffee as bowl is to,dish,soup,spoon,food, ,B, Coffee goes into a cup and soup goes into a bowl.  Choices a and  c are incorrect because they are other utensils. The answer is not choice d because the word food is too general. 
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Yard is to inch as quart is to,gallon,ounce,milk,liquid, ,B, A yard is a larger measure than an inch (a yard contains 36 inches). A quart is a larger measure than an ounce (a quart contains 32 ounces). Gallon (choice a) is incorrect because it is larger than a  quart. Choices  c and d are incorrect because they are not units of measurement. 
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Elated is to despondent as enlightened is to,aware,ignorant,miserable,tolerant, ,B," Elated is the opposite of despondent, enlightened is the opposite of ignorant. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Optimist is to cheerful as pessimist is to,gloomy,mean,petty,helpful, ,A, An optimist is a person whose outlook is cheerful. A  pessimist is a person whose outlook is gloomy. The answer is not (choice b) because a pessimist does not have to be mean. (Choices c) and d are incorrect because neither adjective describes the outlook of a pessimist. 
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Reptile is to lizard as flower is to,petal,stem,daisy,alligator, ,C," A lizard is a type of reptile, a daisy is a type of flower. Choices a and b are incorrect because a petal and a stem are parts of a flower, not types of flowers. (Choice d) is incorrect because an alligator is another type of reptile, not a type of flower. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Play is to actor as concert is to,symphony,musician,piano,percussion, ,B," An actor performs in a play. A musician performs at a  concert. Choices a, c, and d are incorrect because none is people who perform. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Sponge is to porous as rubber is to,massive,solid,elastic,inflexible, ,C," A sponge is a porous material. Rubber is an elastic  material. (Choice a) is incorrect because rubber would not generally be referred to as massive. The answer is not (choice b) because even though rubber is a solid, its most noticeable characteristic is its elasticity. Choice d is incorrect because rubber has flexibility. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Careful is to cautious as boastful is to,arrogant,humble,joyful,suspicious, ,A, Careful and cautious are synonyms (they mean the same  thing). Boastful and arrogant are also synonyms. The answer is not (choice b)  because humble means the opposite of boastful. The answer is not choice  c or d  because neither means the same as boastful. 
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Pen is to poet as needle is to,thread,button,sewing,tailor, ,D," A pen is a tool used by a poet. A needle is a tool used by a tailor. The answer is not choice a, b, or  c because none is a person and therefore cannot complete the analogy. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Secretly is to openly as silently is to,scarcely,impolitely,noisily,quietly, ,C," Secretly is the opposite of openly, and silently is the opposite of noisily. Choices a and b are clearly not the opposites of silently. (Choice d) means the same thing as silently. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Embarrassed is to humiliated as frightened is to,terrified,agitated,courageous,reckless, ,A," If someone has been humiliated, they have been greatly embarrassed. If someone is terrified, they are extremely frightened. The  answer is not choice b because an agitated person is not necessarily frightened. Choices  c and  d are incorrect because neither word expresses a state of being frightened. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Pride is to lion as shoal is to,teacher,student,self-respect,fish, ,D, A group of lions is called a pride. A group of fish swim in a shoal. Teacher (choice a) and student (choice b) refer to another meaning of the word  school. The answer is not (choice c) because self-respect has no obvious relationship to this particular meaning of school. 
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Artist is to painting as senator is to,attorney,law,politician,constituents, ,B," An artist makes paintings, a senator makes laws. The  answer is not choice a because an attorney does not make laws and a senator is not an attorney. Choice c is incorrect because a senator is not a politician. Constituents (choice d) is also incorrect because a senator serves his or her constituents. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Exercise is to gym as eating is to,food,dieting,fitness,restaurant, ,D," A gym is a place where people exercise. A restaurant  is a place where people eat. Food (choice a) is not the answer because it is something people eat, not a place or location where they eat. The answer is not  choice b or c because neither represents a place where people eat. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Candid is to indirect as honest is to,frank,wicked,truthful,untruthful, ,D," Candid and indirect refer to opposing traits. Honest and untruthful refer to opposing traits. The answer is not choice a because frank means the same thing as candid.Wicked (choice b) is incorrect because even though it refers to a negative trait, it does not mean the opposite of honest. (Choice c) is incorrect because truthful and honest mean the same thing. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Guide is to direct as reduce is to,decrease,maintain,increase,preserve, ,A," Guide and direct are synonyms, and reduce and decrease are synonyms. The answer is not choice b or d because neither means the same as reduce. (Choice c) is incorrect because increase is the opposite of reduce. "
Logical Reasoning,Misscellaneous,"                            A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.                        ",Oar is to rowboat as foot is to,running,sneaker,skateboard,jumping, ,C," An oar puts a rowboat into motion. A foot puts a skateboard into motion. The answer is not choice a because running is not an object that is put into motion by a foot. Sneaker (choice b) is incorrect because it is something worn on a foot. Jumping (choice d) is incorrect because although you do need feet to jump, jumping is not an object that is put into motion by means of a foot. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",Applying for Seasonal Employment occurs when a person requests to be considered for a job that is dependent on a particular season or time of year. Which situation below is the best example of Applying for Seasonal Employment?,The ski instructors at Top of the Peak Ski School work from December through March.,Matthew prefers jobs that allow him to work outdoors.,Lucinda makes an appointment with the beach resort restaurant manager to interview for the summer waitressing position that was advertised in the newspaper.,Doug's ice cream shop stays open until 11 p.m. during the summer months., ,C," Although the ski instructors at Top of the Peak Ski School do work seasonally, choice a does not describe anyone  applying for seasonal employment. In choice b, the statement that Matthew likes to work outdoors tells us nothing about seasonal employment or someone applying for it. And although choice d describes a business with seasonal hours, it does not describe a person applying for seasonal work. Choice c, on the other hand, very specifically depicts a person, Lucinda, who is applying for a job as a summer waitress at a beach resort, which is dependent upon a particular season of the year. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",Violating an Apartment Lease occurs when a tenant does something prohibited by the legally binding document that he or she has signed with a landlord. Which situation below is the best example of Violating an Apartment Lease?,"Tim has decided to move to another city, so he calls his landlord to tell him that he is not interested in renewing his lease when it expires next month.","Valerie recently lost her job and, for the last three months, has neglected to pay her landlord the monthly rent they agreed upon in writing when she moved into her apartment eight months ago.",Mark writes a letter to his landlord that lists numerous complaints about the apartment he has agreed to rent for two years.,Leslie thinks that her landlord is neglecting the building in which she rents an apartment. She calls her attorney to ask for advice., ,B," Valerie signed a legally binding document that requires her to pay a monthly rent for her apartment and she has failed to do this for the last three months. Therefore, she has violated her apartment lease. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ","An Informal Gathering occurs when a group of people get together in a casual, relaxed manner. Which situation below is the best example of an Informal Gathering?",The book club meets on the first Thursday evening of every month.,"After finding out about his promotion, Jeremy and a few coworkers decide to go out for a quick drink after work.",Mary sends out 25 invitations for the bridal shower she is giving for her sister.,"Whenever she eats at the Mexican restaurant, Clara seems to run into Peter.", ,B," After getting some good news, Jeremy and a few friends casually get together for a drink after work, thereby having an informal gathering. Choices a and c describe more formal types of gatherings. Choice d describes a chance or coincidental kind of meeting. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",People speculate when they consider a situation and assume something to be true based on inconclusive evidence. Which situation below is the best example of Speculation ?,"Francine decides that it would be appropriate to wear jeans to her new office on Friday after reading about ""Casual Fridays"" in her employee handbook.",Mary spends thirty minutes sitting in traffic and wishes that she took the train instead of driving.,"After consulting several guidebooks and her travel agent, Jennifer feels confident that the hotel she has chosen is first-rate.","When Emily opens the door in tears, Theo guesses that she's had a death in her family.", ,D," This is the only situation in which someone makes an assumption that is not based on conclusive evidence. Choices a and c reflect situations in which assumptions are made based on evidence. In choice b, Mary is not assuming anything to be true. She is simply wishing that she'd made a different decision. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",Posthumous Publication occurs when a book is published after the author's death. Which situation below is the best example of Posthumous Publication ?,Richard's illness took his life before he was able to enjoy the amazing early reviews of his novel.,Melissa's publisher cancels her book contract after she fails to deliver the manuscript on time.,Clarence never thought he'd live to see the third book in his trilogy published.,Elizabeth is honored with a prestigious literary award for her writing career and her daughter accepts the award on behalf of her deceased mother., ,A," Although choice d also mentions a writer who has died, it does not state that one of the writer's books was published after her death, only that she received an award. Choice  a states that Richard wasn't around  to see the early reviews of his novel, therefore implying that Richard died before the book was published. The other two options depict living writers. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",A Guarantee is a promise or assurance that attests to the quality of a product that is either (1) given in writing by the manufacturer or (2) given verbally by the person selling the product. Which situation below is the best example of a Guarantee?,Melissa purchases a DVD player with the highest consumer ratings in its category.,The salesperson advises Curt to be sure that he buys an air conditioner with a guarantee.,The local auto body shop specializes in refurbishing and selling used cars.,Lori buys a used digital camera from her coworker who says that she will refund Lori's money if the camera's performance is not of the highest quality., ,D," Choices a, b, and c do not describe situations in which a product is guaranteed. Only choice d reflects a situation in which a seller attests to the quality of a product by giving the buyer a promise or assurance about its quality. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",The rules of baseball state that a batter Legally Completes His Time at Bat when he is put out or becomes a base runner. Which situation below is the best example of a batter Legally Completing His Time at Bat?,Jared's blooper over the head of the short-stop puts him in scoring position.,"The umpire calls a strike, even though the last pitch was way outside.","The pitcher throws his famous knuckleball, Joe swings and misses, and the umpire calls a strike.",The count is two balls and two strikes as Mario waits for the next pitch., ,A," The fact that Jared is in scoring position due to his  blooper indicates that he has hit the ball and is now a base runner, therefore, he has legally completed his time at bat. Choices b and c both describe situations in which a strike is called, but they do not state that the batter has been put out or that he is now a base runner. Choice d describes a situation in which the batter, Mario, is still at the plate waiting for the  next pitch. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ","Erratic Behavior occurs when an individual acts in a manner that lacks consistency, regularity, and uniformity. Which situation below is the best example of Erratic Behavior?",Julia cannot contain her anger whenever the subject of local politics is discussed.,"Martin has just been told that he is being laid off. Before leaving his supervisor's office, he punches a hole in the door.","Rhonda has visited the dealership several times, but she still cannot decide which car to buy.","In the past month, Jeffrey, who has been a model employee for three years, has repeatedly called in sick, forgotten important meetings, and been verbally abusive to colleagues.", ,D, Jeffrey's recent behavior is clearly inconsistent and irregular. 
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",A Tiebreaker is an additional contest or period of play designed to establish a winner among tied contestants. Which situation below is the best example of a Tiebreaker?,"At halftime, the score is tied at 28.",Mary and Megan have each scored three goals in the game.,The referee tosses a coin to decide which team will have possession of the ball first.,"The Sharks and the Bears each finished with 14 points, and they are now battling it out in a five-minute overtime.", ,D, This is the only choice that indicates that an additional period of play is taking place to determine the winner of a game that ended in a tie. 
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ","In the Maple Hill school district, a Five-Day Suspension occurs when a student is not permitted to attend school for five days for  (1) physically assaulting another student, a teacher, or a school employee or (2) willfully destructing or defacing school property. Which situation below is the best example of a Five-Day Suspension?",Lillian gets caught cheating on a math test for the second time and is suspended from school.,Marc is asked to leave the classroom due to his constant disruptions.,Franny uses spray paint to write derogatory comments on the locker room wall and she is given a suspension.,Ms. Farmer tells her class that students who fail the midterm exam will be expected to stay after school for tutoring help., ,C," Although choices a and  c both describe suspensions, only choice c describes a suspension that is the result of one of the two scenarios given in the definition of a five-day suspension (physical assault or destructing or defacing school property). Therefore, we can assume that Franny's suspension, which is the result of spray painting school property, will be a five-day suspension. Since  the definition doesn't provide any information about suspensions for cheating, we can assume that Lillian's suspension does not fall into the five-day suspension category. "
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",It is appropriate to compensate someone if you have damaged his or her property in some way. This is called Restitution. Which situation below is the best example of Restitution?,"Jake borrows Leslie's camera and the lens shatters when it falls on the ground because he fails to zipper the case.When Jake returns the camera, he tells Leslie that he will pay for the repair.","Rebecca borrows her neighbor's car, and when she returns it, the gas tank is practically empty. She apologizes profusely and tells her neighbor she will be more considerate the next time.","Aaron asks Tom to check in on his apartment while he is out of town. When Tom arrives, he discovers that a pipe has burst and there is a considerable amount of water damage. He calls a plumber to repair the pipe.",Lisa suspects that the pothole in her company's parking lot caused her flat tire. She tells her boss that she thinks the company should pay for the repair., ,A, Jake damaged Leslie's camera while it was in his possession and he has agreed to compensate Leslie for the cost of the repair. 
Logical Reasoning,Misscellaneous,"                            Read each definition and all four choices carefully, and find the answer that provides the best example of the given definition.                        ",Reentry occurs when a person leaves his or her social system for a period of time and then returns. Which situation below best describes Reentry ?,"When he is offered a better paying position, Jacob leaves the restaurant he manages to manage a new restaurant on the other side of town.",Catherine is spending her junior year of college studying abroad in France.,Malcolm is readjusting to civilian life after two years of overseas military service.,"After several miserable months, Sharon decides that she can no longer share an apartment with her roommate Hilary.", ,C, Malcolm is the only person returning to a social system that he has been away from for an extended period of time. 
